"Sitio","Riqueza","Shannon","Simpson","Longitud","Latitud","Elevación","Pendiente.Grados","Pendiente.Porcentaje","Exposición","Exposición.Cardinal"
1,1,1,1,-70.761,-32.759,975,12.6,22.4,37.1,"NO"
2,5.2,2.1,1.6,-70.759,-32.752,722,22.5,41.4,123.2,"SO"
4,7.3,2.2,1.5,-71.117,-32.906,409,11.4,20.2,310,"NE"
5,8.9,5.3,4.2,-71.072,-32.955,632,12.2,21.6,243.3,"SE"
6,7.6,5.3,4.3,-71.121,-32.967,1065,22.9,42.2,216.4,"SE"
7,5.7,3.1,2.4,-71.302,-33.062,249,14,24.9,224.3,"SE"
8,6,2.6,1.8,-71.21,-33.107,272,6.7,11.7,262.1,"E"
14,4.3,2.2,1.7,-70.522,-32.666,1848,18.5,33.5,292.8,"NE"
23,2,1.8,1.7,-70.745,-32.641,776,15.9,28.5,195.6,"S"
30,11.5,6.7,4.8,-71.183,-32.894,242,7.7,13.5,16.6,"N"
31,5.8,3.9,3.3,-71.353,-32.888,161,5.2,9.1,237.8,"SE"
38,2.2,1.9,1.8,-70.092,-32.92,2479,11.7,20.7,236.9,"SE"
43,8.2,4.2,3.1,-71.15,-32.641,434,6.8,11.9,254.3,"E"
47,12.4,2.8,1.8,-71.471,-32.917,20,17.9,32.3,134.4,"SO"
51,3,2,1.7,-71.498,-32.892,89,6.4,11.2,316.4,"NE"
52,7.7,4.3,3.2,-70.594,-32.641,1298,7.2,12.6,207,"SE"
